linha;grupo;subgrupo;tipo_mercadoria;cargo;taxa_rateio_maximo_pct;fatia_cargo_pct;ativo
Diversos;Detector Diversos;Certificado;Serviço;Consultor Interno;5;15;True
Diversos;Detector Diversos;Certificado;Serviço;Consultor Externo;5;15;True
Diversos;Detector Diversos;Certificado;Serviço;Coordenador;5;20;True
Diversos;Detector Diversos;Certificado;Serviço;Diretor;5;10;True
Diversos;Detector Diversos;Certificado;Serviço;Gerente Geral;5;20;True
Diversos;Detector Diversos;Certificado;Serviço;Gerente Linha;5;20;True
Diversos;Detector Diversos;Certificado;Serviço;Representante Comercial;5;0;True
Diversos;Detector Diversos;Certificado;Serviço;Supervisor;5;0;True
Diversos;Diversos Diversos;Acessório;Insumo;Consultor Interno;5;15;True
Diversos;Diversos Diversos;Acessório;Insumo;Consultor Externo;5;15;True
Diversos;Diversos Diversos;Acessório;Insumo;Coordenador;5;20;True
Diversos;Diversos Diversos;Acessório;Insumo;Diretor;5;10;True
Diversos;Diversos Diversos;Acessório;Insumo;Gerente Geral;5;20;True
Diversos;Diversos Diversos;Acessório;Insumo;Gerente Linha;5;20;True
Diversos;Diversos Diversos;Acessório;Insumo;Representante Comercial;5;0;True
Diversos;Diversos Diversos;Acessório;Insumo;Supervisor;5;0;True
Diversos;Diversos Diversos;Acessório;Produto;Consultor Interno;5;15;True
Diversos;Diversos Diversos;Acessório;Produto;Consultor Externo;5;15;True
Diversos;Diversos Diversos;Acessório;Produto;Coordenador;5;20;True
Diversos;Diversos Diversos;Acessório;Produto;Diretor;5;10;True
Diversos;Diversos Diversos;Acessório;Produto;Gerente Geral;5;20;True
Diversos;Diversos Diversos;Acessório;Produto;Gerente Linha;5;20;True
Diversos;Diversos Diversos;Acessório;Produto;Representante Comercial;5;0;True
Diversos;Diversos Diversos;Acessório;Produto;Supervisor;5;0;True
Diversos;Diversos Diversos;Calibração;Serviço;Consultor Interno;5;15;True
Diversos;Diversos Diversos;Calibração;Serviço;Consultor Externo;5;15;True
Diversos;Diversos Diversos;Calibração;Serviço;Coordenador;5;20;True
Diversos;Diversos Diversos;Calibração;Serviço;Diretor;5;10;True
Diversos;Diversos Diversos;Calibração;Serviço;Gerente Geral;5;20;True
Diversos;Diversos Diversos;Calibração;Serviço;Gerente Linha;5;20;True
Diversos;Diversos Diversos;Calibração;Serviço;Representante Comercial;5;0;True
Diversos;Diversos Diversos;Calibração;Serviço;Supervisor;5;0;True
Diversos;Diversos Diversos;Certificado;Serviço;Consultor Interno;5;15;True
Diversos;Diversos Diversos;Certificado;Serviço;Consultor Externo;5;15;True
Diversos;Diversos Diversos;Certificado;Serviço;Coordenador;5;20;True
Diversos;Diversos Diversos;Certificado;Serviço;Diretor;5;10;True
Diversos;Diversos Diversos;Certificado;Serviço;Gerente Geral;5;20;True
Diversos;Diversos Diversos;Certificado;Serviço;Gerente Linha;5;20;True
Diversos;Diversos Diversos;Certificado;Serviço;Representante Comercial;5;0;True
Diversos;Diversos Diversos;Certificado;Serviço;Supervisor;5;0;True
Diversos;Diversos Diversos;Diversos;Insumo;Consultor Interno;5;15;True
Diversos;Diversos Diversos;Diversos;Insumo;Consultor Externo;5;15;True
Diversos;Diversos Diversos;Diversos;Insumo;Coordenador;5;20;True
Diversos;Diversos Diversos;Diversos;Insumo;Diretor;5;10;True
Diversos;Diversos Diversos;Diversos;Insumo;Gerente Geral;5;20;True
Diversos;Diversos Diversos;Diversos;Insumo;Gerente Linha;5;20;True
Diversos;Diversos Diversos;Diversos;Insumo;Representante Comercial;5;0;True
Diversos;Diversos Diversos;Diversos;Insumo;Supervisor;5;0;True
Diversos;Diversos Diversos;Ferramental;Insumo;Consultor Interno;5;15;True
Diversos;Diversos Diversos;Ferramental;Insumo;Consultor Externo;5;15;True
Diversos;Diversos Diversos;Ferramental;Insumo;Coordenador;5;20;True
Diversos;Diversos Diversos;Ferramental;Insumo;Diretor;5;10;True
Diversos;Diversos Diversos;Ferramental;Insumo;Gerente Geral;5;20;True
Diversos;Diversos Diversos;Ferramental;Insumo;Gerente Linha;5;20;True
Diversos;Diversos Diversos;Ferramental;Insumo;Representante Comercial;5;0;True
Diversos;Diversos Diversos;Ferramental;Insumo;Supervisor;5;0;True
Diversos;Diversos Diversos;Ferramental;Produto;Consultor Interno;5;15;True
Diversos;Diversos Diversos;Ferramental;Produto;Consultor Externo;5;15;True
Diversos;Diversos Diversos;Ferramental;Produto;Coordenador;5;20;True
Diversos;Diversos Diversos;Ferramental;Produto;Diretor;5;10;True
Diversos;Diversos Diversos;Ferramental;Produto;Gerente Geral;5;20;True
Diversos;Diversos Diversos;Ferramental;Produto;Gerente Linha;5;20;True
Diversos;Diversos Diversos;Ferramental;Produto;Representante Comercial;5;0;True
Diversos;Diversos Diversos;Ferramental;Produto;Supervisor;5;0;True
Diversos;Diversos Diversos;Filtro;Insumo;Consultor Interno;5;15;True
Diversos;Diversos Diversos;Filtro;Insumo;Consultor Externo;5;15;True
Diversos;Diversos Diversos;Filtro;Insumo;Coordenador;5;20;True
Diversos;Diversos Diversos;Filtro;Insumo;Diretor;5;10;True
Diversos;Diversos Diversos;Filtro;Insumo;Gerente Geral;5;20;True
Diversos;Diversos Diversos;Filtro;Insumo;Gerente Linha;5;20;True
Diversos;Diversos Diversos;Filtro;Insumo;Representante Comercial;5;0;True
Diversos;Diversos Diversos;Filtro;Insumo;Supervisor;5;0;True
Diversos;Diversos Diversos;Hora Técnica;Serviço;Consultor Interno;5;15;True
Diversos;Diversos Diversos;Hora Técnica;Serviço;Consultor Externo;5;15;True
Diversos;Diversos Diversos;Hora Técnica;Serviço;Coordenador;5;20;True
Diversos;Diversos Diversos;Hora Técnica;Serviço;Diretor;5;10;True
Diversos;Diversos Diversos;Hora Técnica;Serviço;Gerente Geral;5;20;True
Diversos;Diversos Diversos;Hora Técnica;Serviço;Gerente Linha;5;20;True
Diversos;Diversos Diversos;Hora Técnica;Serviço;Representante Comercial;5;0;True
Diversos;Diversos Diversos;Hora Técnica;Serviço;Supervisor;5;0;True
Diversos;Diversos Diversos;Instalação;Serviço;Consultor Interno;5;15;True
Diversos;Diversos Diversos;Instalação;Serviço;Consultor Externo;5;15;True
Diversos;Diversos Diversos;Instalação;Serviço;Coordenador;5;20;True
Diversos;Diversos Diversos;Instalação;Serviço;Diretor;5;10;True
Diversos;Diversos Diversos;Instalação;Serviço;Gerente Geral;5;20;True
Diversos;Diversos Diversos;Instalação;Serviço;Gerente Linha;5;20;True
Diversos;Diversos Diversos;Instalação;Serviço;Representante Comercial;5;0;True
Diversos;Diversos Diversos;Instalação;Serviço;Supervisor;5;0;True
Diversos;Diversos Diversos;Treinamento;Serviço;Consultor Interno;5;15;True
Diversos;Diversos Diversos;Treinamento;Serviço;Consultor Externo;5;15;True
Diversos;Diversos Diversos;Treinamento;Serviço;Coordenador;5;20;True
Diversos;Diversos Diversos;Treinamento;Serviço;Diretor;5;10;True
Diversos;Diversos Diversos;Treinamento;Serviço;Gerente Geral;5;20;True
Diversos;Diversos Diversos;Treinamento;Serviço;Gerente Linha;5;20;True
Diversos;Diversos Diversos;Treinamento;Serviço;Representante Comercial;5;0;True
Diversos;Diversos Diversos;Treinamento;Serviço;Supervisor;5;0;True
Diversos;Elevador de Liquidos Fixo;Painel;Produto;Consultor Interno;5;15;True
Diversos;Elevador de Liquidos Fixo;Painel;Produto;Consultor Externo;5;15;True
Diversos;Elevador de Liquidos Fixo;Painel;Produto;Coordenador;5;20;True
Diversos;Elevador de Liquidos Fixo;Painel;Produto;Diretor;5;10;True
Diversos;Elevador de Liquidos Fixo;Painel;Produto;Gerente Geral;5;20;True
Diversos;Elevador de Liquidos Fixo;Painel;Produto;Gerente Linha;5;20;True
Diversos;Elevador de Liquidos Fixo;Painel;Produto;Representante Comercial;5;0;True
Diversos;Elevador de Liquidos Fixo;Painel;Produto;Supervisor;5;0;True
Diversos;Filtração Diversos;Sistema;Produto;Consultor Interno;5;15;True
