linha;grupo;subgrupo;tipo_mercadoria;fabricante
Diversos;Detector Diversos;Serviço;Certificado;Clean
Diversos;Diversos Diversos;Insumo;Acessório;Clean
Diversos;Diversos Diversos;Produto;Acessório;Clean
Diversos;Diversos Diversos;Serviço;Calibração;Clean
Diversos;Diversos Diversos;Serviço;Certificado;Clean
Diversos;Diversos Diversos;Insumo;Diversos;
Diversos;Diversos Diversos;Insumo;Diversos;Clean
Diversos;Diversos Diversos;Insumo;Diversos;Fabricante
Diversos;Diversos Diversos;Insumo;Ferramental;AMS
Diversos;Diversos Diversos;Insumo;Ferramental;Clean
Diversos;Diversos Diversos;Insumo;Ferramental;HISCO
Diversos;Diversos Diversos;Produto;Ferramental;AMS
Diversos;Diversos Diversos;Produto;Ferramental;Clean
Diversos;Diversos Diversos;Insumo;Filtro;Clean
Diversos;Diversos Diversos;Serviço;Hora Técnica;Clean
Diversos;Diversos Diversos;Serviço;Instalação;Clean
Diversos;Diversos Diversos;Serviço;Treinamento;Clean
Diversos;Elevador de Liquidos Fixo;Produto;Painel;Clean
Diversos;Filtração Diversos;Produto;Sistema;Clean
Diversos;Monitoramento Fixo;Produto;Painel Solar;Clean
Diversos;Outros Diversos;Produto;Acessório;Clean
Diversos;Outros Diversos;Reposição;Acessório;Clean
Diversos;Outros Diversos;Insumo;Diversos;Clean
Diversos;Outros Diversos;Insumo;Diversos;HON
Diversos;Outros Diversos;Produto;Diversos;AMS
Diversos;Outros Diversos;Produto;Ferramental;AMS
Diversos;Outros Diversos;Produto;Ferramental;Clean
Diversos;Outros Diversos;Produto;Outros;Clean
Diversos;Outros Diversos;Reposição;Outros;Clean
Diversos;Separador de Agua/ Oleo Fixo;Reposição;Diversos;QED
Diversos;Sonda Portátil;Reposição;Acessório;Clean
Hidrologia;Alimentação Eletrico;Produto;Sistema;Clean
Hidrologia;Alimentação Eletrico;Produto;Sistema;YSI
Hidrologia;Alimentação Solar;Produto;Sistema;Clean
Hidrologia;Amostrador Diversos;Produto;Acessório;
Hidrologia;Amostrador Diversos;Produto;Acessório;Clean
Hidrologia;Amostrador Diversos;Produto;Acessório;ISCO
Hidrologia;Amostrador Diversos;Reposição;Acessório;
Hidrologia;Amostrador Diversos;Reposição;Acessório;Clean
Hidrologia;Amostrador Diversos;Reposição;Acessório;ISCO
Hidrologia;Amostrador Diversos;Reposição;Anel;ISCO
Hidrologia;Amostrador Diversos;Reposição;Cabo;
Hidrologia;Amostrador Diversos;Reposição;Cabo;Clean
Hidrologia;Amostrador Diversos;Reposição;Cabo;ISCO
Hidrologia;Amostrador Diversos;Insumo;Filtro;ISCO
Hidrologia;Amostrador Diversos;Reposição;Sensor;ISCO
Hidrologia;Amostrador Diversos;Produto;Software;ISCO
Hidrologia;Amostrador Não Refrigerado Portátil;Produto;Acessório;
Hidrologia;Amostrador Não Refrigerado Portátil;Produto;Acessório;isco
Hidrologia;Amostrador Não Refrigerado Portátil;Produto;Amostrador;
Hidrologia;Amostrador Não Refrigerado Portátil;Produto;Amostrador;ISCO
Hidrologia;Amostrador Refrigerado Fixo;Produto;Amostrador;
Hidrologia;Amostrador Refrigerado Fixo;Produto;Amostrador;ISCO
Hidrologia;Amostrador Refrigerado Fixo;Produto;Amostrador;YSI
Hidrologia;Amostrador Refrigerado Portátil;Produto;Amostrador;
Hidrologia;Amostrador Refrigerado Portátil;Produto;Amostrador;ISCO
Hidrologia;Amostragem Diversos;Produto;Sistema;Clean
Hidrologia;Amostragem Diversos;Produto;Sistema;Oceanalpha
Hidrologia;Analisador Diversos;Produto;EmeClean;EMEC
Hidrologia;Analisador Diversos;Insumo;Reagente;
Hidrologia;Analisador Diversos;Insumo;Reagente;Luminutra
Hidrologia;Analisador Fixo;Produto;Transmissor;MJK
Hidrologia;Analisador Microbiologico;Produto;GeneCount;Luminutra
Hidrologia;Analisador Microbiologico;Insumo;Reagente;Luminutra
Hidrologia;Calibração Diversos;Insumo;Solução;Clean
Hidrologia;Calibração Diversos;Insumo;Solução;QED
Hidrologia;Calibração Diversos;Insumo;Solução;YSI
Hidrologia;Colorimetro Portátil;Insumo;Solução;YSI
Hidrologia;Diversos Diversos;Insumo;Acessório;Clean
Hidrologia;Diversos Diversos;Serviço;Calibração;Clean
Hidrologia;Diversos Diversos;Serviço;Hora Técnica;Clean
Hidrologia;Extração Diversos;Produto;Sistema;Clean
Hidrologia;Fotometro Portátil;Produto;9500;YSI
Hidrologia;Fotometro Portátil;Produto;9800;
Hidrologia;Fotometro Portátil;Produto;9800;YSI
Hidrologia;Fotometro Portátil;Insumo;Reagente;YSI
Hidrologia;Medidor de Nivel Diversos;Reposição;Acessório;Clean
Hidrologia;Medidor de Nivel Fixo;Produto;Transmissor;MJK
Hidrologia;Medidor de Vazão Argonaut SL;Produto;Argonaut;SON
Hidrologia;Medidor de Vazão Fixo;Produto;4000 series Isco;ISCO
Hidrologia;Medidor de Vazão Fixo;Produto;Acessório;SON
Hidrologia;Medidor de Vazão Fixo;Produto;ADP;SON
Hidrologia;Medidor de Vazão Fixo;Produto;DURATRACKER;
Hidrologia;Medidor de Vazão Fixo;Produto;DURATRACKER;ISCO
Hidrologia;Medidor de Vazão Fixo;Produto;IQ PIPE;SON
Hidrologia;Medidor de Vazão Fixo;Produto;IQ PLUS;SON
Hidrologia;Medidor de Vazão Fixo;Produto;IQ Standard;SON
Hidrologia;Medidor de Vazão Fixo;Produto;MAGFLUX;MJK
Hidrologia;Medidor de Vazão Fixo;Produto;Sensor;Global Water
Hidrologia;Medidor de Vazão Fixo;Produto;Signature;
Hidrologia;Medidor de Vazão Fixo;Produto;Signature;ISCO
Hidrologia;Medidor de Vazão Fixo;Produto;Sistema;SON
Hidrologia;Medidor de Vazão FlowTracker;Produto;FlowTracker;
Hidrologia;Medidor de Vazão FlowTracker;Produto;FlowTracker;SON
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;Clean
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;ISCO
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;NIVELCO
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;Oceanalpha
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;RDI
Hidrologia;Medidor de Vazão Portátil;Produto;Acessório;SON
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;Clean
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;ISCO
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;MJK
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;Oceanalpha
Hidrologia;Medidor de Vazão Portátil;Reposição;Acessório;SON
Hidrologia;Medidor de Vazão Portátil;Reposição;Anel;SON
Hidrologia;Medidor de Vazão Portátil;Produto;Argonaut;SON
Hidrologia;Medidor de Vazão Portátil;Reposição;Cabo;
Hidrologia;Medidor de Vazão Portátil;Reposição;Cabo;Clean
Hidrologia;Medidor de Vazão Portátil;Reposição;Cabo;RDI
Hidrologia;Medidor de Vazão Portátil;Reposição;Cabo;SON
Hidrologia;Medidor de Vazão Portátil;Produto;DataLogger;RDI
Hidrologia;Medidor de Vazão Portátil;Produto;DataLogger;SON
Hidrologia;Medidor de Vazão Portátil;Produto;DataLogger;YSI
Hidrologia;Medidor de Vazão Portátil;Produto;Embarcação;Oceanalpha
