Código Operação;Data de Entrada;Valor Produtos;Num docorigem
5101;21/05/2020;282.86;032147
5102;22/05/2020;77348.88;031937
5102;22/05/2020;77348.88;031937
5101;14/06/2017;963.12;
5101;14/06/2017;963.12;
5102;14/08/2023;173;
5101;12/05/2017;1403.15;032469
5101;02/12/2011;161.71;
5101;22/08/2014;3300;
5101;21/11/2011;6363.04;
5101;08/06/2020;5321.28;032265
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;08/07/2020;1407.58;032413
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;07/07/2020;144999.95;032262
5101;08/07/2020;1407.58;032413
5101;08/07/2020;1407.58;032413
5101;29/07/2020;12890.66;032455
5101;29/07/2020;12890.66;032455
5102;06/07/2020;313.69;032254
5135;28/07/2020;12954.3;030545
5135;28/07/2020;12954.3;030545
5100;14/08/2020;1500;
5102;26/08/2020;5321;
5101;12/08/2020;382141.07;032876
5101;12/08/2020;382141.07;032876
5101;12/08/2020;382141.07;032876
5101;12/08/2020;382141.07;032876
5102;26/08/2020;5321;032781
5101;10/12/2012;529.67;
5101;10/12/2012;529.67;
5101;02/12/2011;161.71;
5120;10/09/2020;1500;032950
5102;26/06/2020;1510.61;
5101;02/09/2020;30610.4;033140
5102;14/09/2020;12146.48;032947
5101;02/09/2020;3284;032809
5102;14/09/2020;12146.48;032947
5102;14/09/2020;12146.48;032947
5101;02/09/2020;30610.4;033140
5102;16/10/2020;1960.61;033276
5197;11/11/2020;5000;
5101;11/03/2015;734;033115
5101;24/11/2020;2260;033524
5101;24/11/2020;2260;033524
5101;24/11/2020;2260;033524
5101;08/09/2017;17998.59;
5101;11/03/2015;734;
5120;20/01/2021;160;034002
5100;21/10/2019;30000;
5100;26/03/2021;900;
5101;13/04/2021;11416.71;034817
5101;13/04/2021;11416.71;034817
5101;13/04/2021;11416.71;034817
5101;13/04/2021;11416.71;034817
5101;13/04/2021;11416.71;034817
5101;03/05/2012;521.76;
5100;21/10/2019;30000;
5100;09/04/2021;1230;
5102;18/07/2022;183.76;
5102;29/04/2021;17040.08;034934
5101;11/06/2012;5184.55;
5101;21/11/2011;6363.04;
5102;29/04/2020;1407.78;
5100;07/05/2021;900;
5101;06/05/2021;9449.4;034949
5101;06/05/2021;9449.4;034949
5101;06/05/2021;9449.4;034949
5101;17/05/2021;80.88;035173
5101;17/05/2021;80.88;035173
5101;21/05/2014;57848.95;
5120;28/07/2021;1000;035604
5101;23/07/2021;3212.5;035025
5102;22/05/2020;77348.88;
5102;22/05/2020;77348.88;
5102;22/05/2020;77348.88;
5100;21/07/2011;210;
5102;27/08/2021;2727.88;036041
5101;17/05/2013;693.98;
5101;11/06/2012;5184.55;
5101;28/10/2021;1606.96;036303
5197;26/11/2021;8446.99;
5101;04/11/2021;1969.05;036357
5101;21/05/2014;57848.95;
5116;17/10/2023;1564;
5116;17/10/2023;1491;
5101;30/05/2014;1990;
5102;26/06/2020;1510.61;
5101;21/11/2011;6363.04;
5102;31/01/2019;2352.15;
5101;27/01/2012;1455.3;
5100;10/01/2022;1500;
5197;10/03/2022;3190.22;
5101;09/02/2012;42621.2;
