linha;Grupo;Subgrupo;Tipo de Mercadoria;rentabilidade_realizada_pct
SSO;Analisador Fixo;Falco;Produto;30
SSO;Analisador Fixo;Titan;Produto;45
SSO;Analisador Fixo;Acessório;Reposição;25
SSO;Analisador Fixo;Sensor;Reposição;27
SSO;Analisador Fixo;Filtro;Insumo;32
SSO;Analisador Portátil;Acessório;Produto;42
SSO;Analisador Portátil;MicroClip;Produto;40
SSO;Analisador Portátil;Panther;Produto;43
SSO;Analisador Portátil;Innova;Produto;41
SSO;Detector Portátil;MicroClip;Produto;38
SSO;Detector Fixo;E3 Point;Produto;39
SSO;Diversos Diversos;Calibração;Serviço;50
SSO;Diversos Diversos;Hora Técnica;Serviço;48
SSO;Diversos Diversos;Instalação;Serviço;47
SSO;Diversos Diversos;Acessório;Produto;36
Hidrologia;Amostrador Diversos;Acessório;Produto;35
Hidrologia;Amostrador Não Refrigerado Portátil;Amostrador;Produto;38
Hidrologia;Analisador Microbiologico;GeneCount;Produto;34
Hidrologia;Equipamento Amostragem;ISCO;Produto;40
Hidrologia;Equipamento Amostragem;YSI;Produto;42
Hidrologia;Sonda Multiparâmetros;EXO;Produto;44
Hidrologia;Sonda Multiparâmetros;YSI;Produto;43
Hidrologia;Sonda Diversos;Acessório;Produto;33
Hidrologia;Calibração Diversos;Solução;Insumo;31
Hidrologia;Fotometro Portátil;9500;Produto;37
Hidrologia;Medidor de Vazão Fixo;IQ Standard;Produto;30
Hidrologia;Sonda Serie EXO;EXO;Produto;40
Hidrologia;Medidor de Vazão Fixo;IQ PLUS;Produto;41
Remediação;Bomba Diversos;Bomba;Produto;38
Remediação;Bomba Fixa;Sistema;Produto;40
Remediação;Sistema Remediação;QED;Produto;42
Remediação;Sistema Remediação;Thermo;Produto;44
Diversos;Detector Diversos;Certificado;Serviço;47
Diversos;Diversos Diversos;Calibração;Serviço;49
Diversos;Diversos Diversos;Instalação;Serviço;48
Diversos;Diversos Diversos;Treinamento;Serviço;46
Locação;Locação Diversos;Locação;Serviço;45
Saneamento;Estação Diversos;Sistema;Produto;41
